name,Run,BioSample,SampleName,Number,Date,"Day of year",Size,Depth,"ORP (mV)"
"Xidong Reservoir, Xiamen",SRR3233719,SAMN04549068,XD1BF,3,2014-10-24,297,Free-living,Bottom,29
"Xidong Reservoir, Xiamen",SRR3233744,SAMN04549086,XD1BP,21,2014-10-24,297,Particle-associated,Bottom,29
"Xidong Reservoir, Xiamen",SRR3233666,SAMN04549067,XD1MF,2,2014-10-24,297,Free-living,Middle,277
"Xidong Reservoir, Xiamen",SRR3233741,SAMN04549085,XD1MP,20,2014-10-24,297,Particle-associated,Middle,277
"Xidong Reservoir, Xiamen",SRR3233500,SAMN04549066,XD1SF,1,2014-10-24,297,Free-living,Surface,169
"Xidong Reservoir, Xiamen",SRR3233740,SAMN04549084,XD1SP,19,2014-10-24,297,Particle-associated,Surface,169
"Xidong Reservoir, Xiamen",SRR3233723,SAMN04549071,XD2BF,6,2014-10-31,304,Free-living,Bottom,42
"Xidong Reservoir, Xiamen",SRR3233747,SAMN04549089,XD2BP,24,2014-10-31,304,Particle-associated,Bottom,42
"Xidong Reservoir, Xiamen",SRR3233721,SAMN04549070,XD2MF,5,2014-10-31,304,Free-living,Middle,409
"Xidong Reservoir, Xiamen",SRR3233746,SAMN04549088,XD2MP,23,2014-10-31,304,Particle-associated,Middle,409
"Xidong Reservoir, Xiamen",SRR3233720,SAMN04549069,XD2SF,4,2014-10-31,304,Free-living,Surface,386
"Xidong Reservoir, Xiamen",SRR3233745,SAMN04549087,XD2SP,22,2014-10-31,304,Particle-associated,Surface,386
"Xidong Reservoir, Xiamen",SRR3233727,SAMN04549074,XD3BF,9,2014-11-21,325,Free-living,Bottom,49
"Xidong Reservoir, Xiamen",SRR3233750,SAMN04549092,XD3BP,27,2014-11-21,325,Particle-associated,Bottom,49
"Xidong Reservoir, Xiamen",SRR3233726,SAMN04549073,XD3MF,8,2014-11-21,325,Free-living,Middle,563
"Xidong Reservoir, Xiamen",SRR3233749,SAMN04549091,XD3MP,26,2014-11-21,325,Particle-associated,Middle,563
"Xidong Reservoir, Xiamen",SRR3233724,SAMN04549072,XD3SF,7,2014-11-21,325,Free-living,Surface,547
"Xidong Reservoir, Xiamen",SRR3233748,SAMN04549090,XD3SP,25,2014-11-21,325,Particle-associated,Surface,547
"Xidong Reservoir, Xiamen",SRR3233730,SAMN04549077,XD4BF,12,2014-11-28,332,Free-living,Bottom,86
"Xidong Reservoir, Xiamen",SRR3233753,SAMN04549095,XD4BP,30,2014-11-28,332,Particle-associated,Bottom,86
"Xidong Reservoir, Xiamen",SRR3233729,SAMN04549076,XD4MF,11,2014-11-28,332,Free-living,Middle,327
"Xidong Reservoir, Xiamen",SRR3233752,SAMN04549094,XD4MP,29,2014-11-28,332,Particle-associated,Middle,327
"Xidong Reservoir, Xiamen",SRR3233728,SAMN04549075,XD4SF,10,2014-11-28,332,Free-living,Surface,274
"Xidong Reservoir, Xiamen",SRR3233751,SAMN04549093,XD4SP,28,2014-11-28,332,Particle-associated,Surface,274
"Xidong Reservoir, Xiamen",SRR3233734,SAMN04549080,XD5BF,15,2014-12-12,346,Free-living,Bottom,68
"Xidong Reservoir, Xiamen",SRR3233758,SAMN04549098,XD5BP,33,2014-12-12,346,Particle-associated,Bottom,68
"Xidong Reservoir, Xiamen",SRR3233732,SAMN04549079,XD5MF,14,2014-12-12,346,Free-living,Middle,461
"Xidong Reservoir, Xiamen",SRR3233756,SAMN04549097,XD5MP,32,2014-12-12,346,Particle-associated,Middle,461
"Xidong Reservoir, Xiamen",SRR3233731,SAMN04549078,XD5SF,13,2014-12-12,346,Free-living,Surface,483
"Xidong Reservoir, Xiamen",SRR3233754,SAMN04549096,XD5SP,31,2014-12-12,346,Particle-associated,Surface,483
"Xidong Reservoir, Xiamen",SRR3233738,SAMN04549083,XD6BF,18,2014-12-29,363,Free-living,Bottom,401
"Xidong Reservoir, Xiamen",SRR3233761,SAMN04549101,XD6BP,36,2014-12-29,363,Particle-associated,Bottom,401
"Xidong Reservoir, Xiamen",SRR3233737,SAMN04549082,XD6MF,17,2014-12-29,363,Free-living,Middle,403
"Xidong Reservoir, Xiamen",SRR3233760,SAMN04549100,XD6MP,35,2014-12-29,363,Particle-associated,Middle,403
"Xidong Reservoir, Xiamen",SRR3233735,SAMN04549081,XD6SF,16,2014-12-29,363,Free-living,Surface,413
"Xidong Reservoir, Xiamen",SRR3233759,SAMN04549099,XD6SP,34,2014-12-29,363,Particle-associated,Surface,413
